x,y,z,E1,E2,P,PCA_1,PCA_2,x',y',z',dx,dy,dz
2.1648901405887338e-16,5.773043016856624e-16,5.000000000000001,4.0,4.0,0.15,0.0,0.0,41.22725960227346,-6.10762775951607e-05,16.627520190459084,0.28606985854359124,-0.013838564880362862,0.030920627197549067
1.172019351866202e-16,-1.9186450819461003,4.625524590269501,4.0,4.0,0.15,0.0,0.0,40.51933030186216,-6.221982221460538,15.147470598616835,0.2774575681872475,-0.07953577545444238,-0.006730258600540707
-2.619264724366641e-32,-3.5294464481437338,3.5294464481437338,4.0,4.0,0.15,0.0,0.0,40.140834983951024,-11.753024929963155,11.603534140154643,0.2658176803976944,-0.14225882087459352,-0.03692744978506519
-1.172019351866202e-16,-4.625524590269501,1.9186450819461003,4.0,4.0,0.15,0.0,0.0,40.12801367217213,-15.862522476913615,6.4147224808066055,0.262202472401113,-0.2022074134462591,-0.0713362821443431
-2.164890140588733e-16,-5.0,5.73326514572099e-16,4.0,4.0,0.15,0.0,0.0,40.517106390157515,-17.819808137440084,4.7286306812814305e-05,0.2776642214236844,-0.2595812654748819,-0.12162209146669313
2.833481680343871e-16,1.9186450819460998,4.6255245902694995,4.0,4.0,0.15,0.0,0.0,42.027002167111895,6.034521165803898,15.464248661882248,0.29753053441966604,0.03338936851155276,0.01785436563260092
1.4119458437438685e-16,3.425943517869783e-16,3.2610103793994263,4.0,4.0,0.15,0.0,0.0,53.81615231166258,0.14458409575943026,11.615798937284156,0.3227345135211996,-0.057927008540865556,-0.059458527553769784
-4.81482486096809e-34,-1.7228603348790508,1.7228603348790508,4.0,4.0,0.15,0.0,0.0,56.593452727669366,-5.953060391679164,6.170594893227602,0.33054822327300953,-0.11269898725803199,-0.10277146056735435
-1.4119458437438685e-16,-3.2610103793994267,7.979727989493313e-17,4.0,4.0,0.15,0.0,0.0,51.92836404592233,-11.751246808153038,-0.22552729427392287,0.32192343651419747,-0.16826686566788865,-0.1340367564596507
-2.8334816803438714e-16,-4.625524590269502,-1.9186450819460985,4.0,4.0,0.15,0.0,0.0,41.39034689721154,-16.742809665303334,-6.926731449206915,0.29781192608386453,-0.2619709417983776,-0.175206738282157
3.0563455269289164e-16,3.5294464481437333,3.529446448143733,4.0,4.0,0.15,0.0,0.0,42.74128648795392,11.14368768517527,11.831400495095004,0.30589354261022805,0.079379384040412,-0.0028445250920436788
1.4919213410364237e-16,1.7228603348790505,1.7228603348790508,4.0,4.0,0.15,0.0,0.0,57.641077257065035,5.486084350706554,6.216895864661595,0.3380801708752171,-0.01939245735581637,-0.09074124383367822
1.560003254953661e-32,-7.16440339675319e-17,4.961309141293668e-16,4.0,4.0,0.15,0.0,0.0,61.371073137001936,-0.20569597330804693,0.3207989020709073,0.3439787404890133,-0.0739928122238593,-0.1431543689036494
-1.4919213410364237e-16,-1.7228603348790512,-1.72286033487905,4.0,4.0,0.15,0.0,0.0,55.75406795342174,-6.215006985382106,-6.084127480237833,0.3306411987359019,-0.12958229176678093,-0.18061449772056903
-3.0563455269289174e-16,-3.5294464481437346,-3.529446448143733,4.0,4.0,0.15,0.0,0.0,42.612855531981566,-12.825202384029199,-13.225120369825403,0.30511949290016815,-0.23132150718764538,-0.22365222770304888
2.833481680343871e-16,4.6255245902695,1.9186450819460996,4.0,4.0,0.15,0.0,0.0,43.42439635564172,14.806982537224345,6.439732128375029,0.30992160268064406,0.11332206593885435,-0.03128162306192045
1.411945843743868e-16,3.2610103793994254,-5.169475958410885e-16,4.0,4.0,0.15,0.0,0.0,53.98280339422813,10.423503328215,-0.22555784284187935,0.327616178623131,0.03049382936326608,-0.1093362337256171
2.7155612215860026e-32,1.72286033487905,-1.72286033487905,4.0,4.0,0.15,0.0,0.0,56.83035605002591,5.735920269042902,-6.109145185450189,0.3209257640939704,-0.0237778134798895,-0.16361280259884886
-1.4119458437438678e-16,1.0309423435464981e-16,-3.2610103793994245,4.0,4.0,0.15,0.0,0.0,53.09263031649974,0.1446374788070682,-11.787228845029027,0.30525181265549045,-0.08210540086068119,-0.20758844206907373
-2.833481680343871e-16,-1.9186450819460992,-4.625524590269501,4.0,4.0,0.15,0.0,0.0,43.89520218711433,-6.949940923393477,-17.83600776715751,0.2959957778700191,-0.17710147104917773,-0.25474026452374976
2.1648901405887326e-16,5.0,-1.201363498045609e-15,4.0,4.0,0.15,0.0,0.0,44.13061556101746,16.50394977733895,0.0,0.30837743419628083,0.12440799843951922,-0.06756250636256511
1.1720193518662014e-16,4.625524590269501,-1.9186450819461007,4.0,4.0,0.15,0.0,0.0,44.83002897931052,15.577825813118935,-6.887881408817288,0.29546417513877227,0.08615780287894266,-0.1240013235149375
